token,frequency
format,7
savefig,7
dpi,7
show,7
ylabel,7
xticks,7
yticks,7
plot,7
legend,7
xlabel,7
vec1,7
<,7
break,7
figure,7
figsize,7
greenyellow,7
res,7
matplotlib,7
pyplot,7
wtilde,7
grad1,6
w_mat,6
generateX,6
Generate,6
aw,6
else,6
maxIter,6
objValNew,6
and,6
Ap,6
loss,6
s2,6
YearPredictionMSD,6
Newton,6
samples,6
vec2,6
pg,6
k,6
marker,6
ms,6
class,6
Executor,6
__init__,6
local,5
Compute,5
not,5
direction,5
compute,5
Arand,5
to,5
skyblue,5
covtype,5
s1,5
resource,5
Condition,5
matL,5
Util,4
txt2npz,4
line4,4
log,4
updateP,4
Solve,4
;,4
Algorithm,4
vecSL,4
del,4
or,4
reg,4
lVec,4
gradNorm,4
Scaling,4
iBegin,4
generateCovMatrix,4
mvtrnd,4
AA,4
multivariate_normal,4
Z,4
dimensional,4
reduced,4
mode,4
x2_mat,4
x1_mat,4
denotes,4
vecF,4
!,4
N,4
matU,4
qr,4
svd,4
errorList,4
update,4
objValOld,4
sklearn,4
_,4
yVec2,4
line5,4
sig,3
hMat,3
optimize,3
vecExp,3
cgSolver2,3
floor,3
cgSolver,3
choice,3
idx2,3
yBlk,3
xBlk,3
stochastic,3
Hessian,3
wnorm,3
at,3
randn,3
parameter,3
Iter,3
newtonMaxIter,3
executors,3
train,3
full_matrices,3
features,3
Logistic,3
abs,3
diff,3
array,3
MinMaxScaler,3
matW,3
title,3
{,3
u,3
computeNewton,3
},3
logis,3
>,3
U8,3
objective,3
using,3
error,3
load_svmlight_file,3
perm,3
ExperimentQuadratic,3
computeGrad,3
ExperimentLogistic,3
updateW,3
grey,3
set,3
salmon,3
we,3
initialize,3
isRemoveEmpty,3
objVal,3
BatchSize,3
objFunSearch,3
setParam,3
I,3
isTransformY,3
wVec0,3
gradRand,2
NumInnerLoop,2
Converged,2
sumX,2
vec3,2
eyeMat,2
quadratic_,2
quad,2
result_,2
N8,2
exactRidgeRegression,2
list,2
arange,2
demo_logis_,2
all,2
x_j,2
f_j,2
libsvm,2
si2,2
logis_U8,2
raw,2
replace,2
xBlk2,2
hInvMat,2
th,2
hinv,2
w8a,2
L,2
randFeature,2
isAA,2
paramter,2
function,2
preprocessing,2
darkgreen,2
o,2
darkred,2
x,2
darkblue,2
datasets,2
convergence,2
decrease,2
step,2
lightpink,2
svrgSolver,2
lightgreen,2
lightblue,2
maroon,2
use,2
because,2
scipy,2
grad2,2
vecProb,2
condition,2
uniform,2
non,2
specify,2
wold,2
_n,2
Warn,2
does,2
converge,2
newtonTol,2
Res,2
approximating,2
EtaList,2
Values,2
Singular,2
U,2
Bases,2
tile,2
produce,2
freedom,2
degrees,2
covariance,2
scalar,2
Input,2
distribution,2
matUL,2
yBlk2,2
vecV,2
estimate_param,2
newton,2
gradCalls,2
n2,2
row_norm2,2
square,2
row_norm1,2
n1,2
vecNoise,2
_d,2
generateDataLogis,2
plocal,2
gradFull,2
change,2
The,2
generateDataLSR,2
generateXW,2
multivariate,2
M,2
Produce,2
min,2
lstsq,1
full,1
todense,1
fit_transform,1
copy,1
fprime,1
full_output,1
eye,1
disp,1
fmin_cg,1
q,1
cg,1
synthetic,1
rfm_YearPredictionMSD,1
max,1
partition,1
logis_N8,1
has,1
demo_,1
value,1
output,1
smaller,1
than,1
Partition,1
blocks,1
If,1
given,1
then,1
size,1
temporary,1
search,1
decide,1
Line,1
no,1
overlap,1
p0,1
search_,1
rand,1
standard_normal,1
tuned,1
cos,1
matVL,1
result_search_,1
aaMat,1
inverting,1
are,1
where,1
rfm_,1
permutation,1
ExecutorQuadratic,1
be,1
can,1
pi,1
between,1
two,1
broadcast,1
one,1
iteration,1
tolConverge,1
Perform,1
a,1
takes,1
driver,1
batch,1
obj,1
L2,1
ExecutorLogistic,1
val,1
iteratively,1
iter,1
mini,1
noise,1
intensity,1
binomial,1
logis_,1
compute_uv,1
